City,Temperature,Wind,Local Time
Accra Ghana,84 °F,13 mph,Tue 1:12 pm
Addis Ababa Ethiopia,77 °F,15 mph,Tue 4:12 pm
Adelaide Australia,57 °F,2 mph,Tue 10:42 pm
Algiers Algeria,79 °F,16 mph,Tue 2:12 pm
Almaty Kazakhstan,77 °F,3 mph,Tue 6:12 pm
Amman Jordan,84 °F,9 mph,Tue 4:12 pm
Amsterdam Netherlands,66 °F,6 mph,Tue 3:12 pm
Anadyr Russia,37 °F,7 mph,Wed 1:12 am
Anchorage USA,42 °F,0 mph,Tue 5:12 am
Ankara Turkey,73 °F,3 mph,Tue 4:12 pm
Antananarivo Madagascar,81 °F,5 mph,Tue 4:12 pm
Asuncion Paraguay,63 °F,17 mph,Tue 10:12 am
Athens Greece,68 °F,?,Not available
Atlanta USA,72 °F,7 mph,Tue 9:12 am
Auckland New Zealand,55 °F,25 mph,Wed 1:12 am
Baghdad Iraq,108 °F,16 mph,Tue 4:12 pm
Bangkok Thailand,86 °F,6 mph,Tue 8:12 pm
Barcelona Spain,81 °F,9 mph,Tue 3:12 pm
Beijing China,70 °F,3 mph,Tue 9:12 pm
Beirut Lebanon,88 °F,10 mph,Tue 4:12 pm
Belgrade Serbia,61 °F,9 mph,Tue 3:12 pm
Bengaluru India,81 °F,9 mph,Tue 6:42 pm
Berlin Germany,66 °F,9 mph,Tue 3:12 pm
Bogota Colombia,55 °F,6 mph,Tue 8:12 am
Boston USA,58 °F,20 mph,Tue 9:12 am
Brasilia Brazil,84 °F,2 mph,Tue 10:12 am
Brisbane Australia,67 °F,3 mph,Tue 11:12 pm
Brussels Belgium,66 °F,5 mph,Tue 3:12 pm
Bucharest Romania,66 °F,7 mph,Tue 4:12 pm
Budapest Hungary,64 °F,16 mph,Tue 3:12 pm
Buenos Aires Argentina,45 °F,8 mph,Tue 10:12 am
Cairo Egypt,88 °F,10 mph,Tue 4:12 pm
Calgary Canada,57 °F,10 mph,Tue 7:12 am
